Timestamp,Server,Throughput (Mbps),Source CI (TACC),Destination CI
2025-03-29 11:59:49,Oregon,3808.2692271732267,283,312
2025-03-29 12:00:13,Virginia,4536.6553696744295,283,357
2025-03-29 12:10:38,Oregon,4068.234447344162,278,303
2025-03-29 12:11:02,Virginia,4340.836159283548,278,356
2025-03-29 12:21:27,Oregon,3785.7151803192287,278,303
2025-03-29 12:21:51,Virginia,4172.44902363201,278,356
2025-03-29 12:32:16,Oregon,3789.951681173002,278,303
2025-03-29 12:32:40,Virginia,4564.230815797216,278,356
2025-03-29 12:43:05,Oregon,4158.771762741529,278,303
2025-03-29 12:43:29,Virginia,4250.935679686707,278,356
2025-03-29 12:53:54,Oregon,3986.28749520654,287,254
2025-03-29 12:54:18,Virginia,4127.479411072247,287,362
2025-03-29 13:04:43,Oregon,4187.1388694900215,255,252
2025-03-29 13:05:07,Virginia,4340.48567320667,255,349
2025-03-29 13:15:32,Oregon,3948.905258198198,255,252
2025-03-29 13:15:56,Virginia,4301.527529264762,255,349
2025-03-29 13:26:21,Oregon,4265.667933557953,255,252
2025-03-29 13:26:45,Virginia,4150.229904704594,255,349
2025-03-29 13:37:10,Oregon,4279.717374058637,255,252
2025-03-29 13:37:34,Virginia,4231.2267999414835,255,349
2025-03-29 13:47:59,Oregon,3941.3624758645624,309,252
2025-03-29 13:48:23,Virginia,4303.146979836241,309,352
2025-03-29 13:58:48,Oregon,3894.806331739462,309,252
2025-03-29 13:59:12,Virginia,4199.97687578514,309,352
2025-03-29 14:09:37,Oregon,3852.869472370709,225,249
2025-03-29 14:10:01,Virginia,4395.527882925725,225,339
2025-03-29 14:20:26,Oregon,3736.3778878778826,225,249
2025-03-29 14:20:50,Virginia,4018.0604392887526,225,339
2025-03-29 14:31:16,Oregon,3666.809566571267,225,249
2025-03-29 14:31:40,Virginia,4259.640471066136,225,339
2025-03-29 14:42:05,Oregon,3663.3480062218273,225,249
2025-03-29 14:42:29,Virginia,4279.561594797428,225,339
2025-03-29 14:52:54,Oregon,3570.844447217674,300,249
2025-03-29 14:53:18,Virginia,4356.942132778633,300,350
2025-03-29 15:03:43,Oregon,3968.7278861088053,267,200
2025-03-29 15:04:07,Virginia,4242.184197969159,267,344
2025-03-29 15:14:32,Oregon,4360.510132131763,267,200
2025-03-29 15:14:56,Virginia,4088.56907825695,267,344
2025-03-29 15:25:21,Oregon,4396.0990708161235,267,200
2025-03-29 15:25:45,Virginia,4131.820212913076,267,344
2025-03-29 15:36:10,Oregon,4099.8983412385305,267,200
2025-03-29 15:36:34,Virginia,4159.609949686003,267,344
2025-03-29 15:46:59,Oregon,3543.294125270134,284,200
2025-03-29 15:47:23,Virginia,4298.7964502749355,284,347
2025-03-29 15:57:48,Oregon,3918.6619613471034,284,200
2025-03-29 15:58:12,Virginia,4167.0042608979675,284,347
2025-03-29 16:08:37,Oregon,3921.2873622249417,275,143
2025-03-29 16:09:01,Virginia,4512.7443003465405,275,342
2025-03-29 16:19:26,Oregon,4050.6080705604318,275,143
2025-03-29 16:19:50,Virginia,4368.053759182512,275,342
2025-03-29 16:30:16,Oregon,3799.1813777219927,275,143
2025-03-29 16:30:40,Virginia,4406.762231625924,275,342
2025-03-29 16:41:05,Oregon,4247.532682961413,275,143
2025-03-29 16:41:29,Virginia,4107.76753390628,275,342
2025-03-29 16:51:54,Oregon,3518.179764160221,265,143
2025-03-29 16:52:18,Virginia,4232.743336348486,265,341
2025-03-29 17:02:43,Oregon,4208.62058666495,267,129
2025-03-29 17:03:07,Virginia,4738.756328247203,267,334
2025-03-29 17:13:32,Oregon,4134.7071361779,267,129
2025-03-29 17:13:56,Virginia,4742.321510921873,267,334
2025-03-29 17:24:21,Oregon,4433.6960085291,267,129
2025-03-29 17:24:45,Virginia,4382.945057758075,267,334
2025-03-29 17:35:10,Oregon,4125.3761933100695,267,129
2025-03-29 17:35:34,Virginia,4743.68410407478,267,334
